FAAM-ID,Title,Permalink,"Musical Works","[Agent] Agent","[Agent] Role","Editorial annotations"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Hans von Bülow",editor,marcato
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Hans von Bülow",editor,mordent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Hans von Bülow",editor,"alternative melody"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Hans von Bülow",editor,ornament
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"comparative study"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,dynamic
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,crescendo
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"musical phrasing"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,fingering
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,trill
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,accent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"engage pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"release pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"musical expression"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"performance practice"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,marcato
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,mordent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,"alternative melody"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Domenico Scarlatti",composer,ornament
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"comparative study"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,dynamic
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,crescendo
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"musical phrasing"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,fingering
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,trill
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,accent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"engage pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"release pedal"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"musical expression"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"performance practice"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,marcato
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,mordent
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,"alternative melody"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G major, K.13","Alessandro Scarlatti",composer,ornament
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"comparative study"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,dynamic
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,crescendo
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,"musical phrasing"
KCA-TP74135,"18 ausgewählte Klavierstücke","not available","Keyboard Sonata in G minor, K.450","Edition Peters",publisher,fingering
