Name,Form of creative work,Wikidata QID,IMSLP ID,VIAF ID,composer,arranger,composer QID,arranger QID
"Keyboard Sonata in A major, K.343",sonata,Q78243627,"Keyboard Sonata in A major, K.343 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F minor, K.386",sonata,Q67199987,"Keyboard Sonata in F minor, K.386 (Scarlatti, Domenico)",293151760,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in F minor, K.386",sonata,Q67199987,"Keyboard Sonata in F minor, K.386 (Scarlatti, Domenico)",293151760,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D major, K.278",sonata,Q78243432,"Keyboard Sonata in D major, K.278 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in D major, K.278",sonata,Q78243432,"Keyboard Sonata in D major, K.278 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.55",sonata,Q74594762,"Keyboard Sonata in G major, K.55 (Scarlatti, Domenico)",294302787,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in G major, K.55",sonata,Q74594762,"Keyboard Sonata in G major, K.55 (Scarlatti, Domenico)",294302787,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in C major, K.465",sonata,Q74594913,"Keyboard Sonata in C major, K.465 (Scarlatti, Domenico)",292423492,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in C major, K.465",sonata,Q74594913,"Keyboard Sonata in C major, K.465 (Scarlatti, Domenico)",292423492,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.460",sonata,Q74594743,"Keyboard Sonata in C major, K.460 (Scarlatti, Domenico)",294097365,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
"Keyboard Sonata in C major, K.460",sonata,Q74594743,"Keyboard Sonata in C major, K.460 (Scarlatti, Domenico)",294097365,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.457",sonata,Q78243837,"Keyboard Sonata in A major, K.457 (Scarlatti, Domenico)",,Domenico Scarlatti,Alessandro Longo,Q167837,Q1934977
"Keyboard Sonata in A major, K.457",sonata,Q78243837,"Keyboard Sonata in A major, K.457 (Scarlatti, Domenico)",,Domenico Scarlatti,Carl Czerny,Q167837,Q215333
