Name,"Wikidata QID","subclass of","instance of","musical parameter"
"sotto voce",Q7564035,"musical expression","musical notation",timbre
"sotto voce",Q7564035,"musical expression","musical notation",loudness
"buff stop",Q123059541,"musical instrument part","musical notation",timbre
"buff stop",Q123059541,"musical instrument part","musical technique",timbre
"musical instrument part",Q19659292,,"musical instrument part",timbre
sostenuto,Q945900,articulation,"musical notation",duration
sostenuto,Q945900,articulation,"musical notation",timbre
sostenuto,Q945900,"musical phrasing","musical notation",duration
sostenuto,Q945900,"musical phrasing","musical notation",timbre
sostenuto,Q945900,"musical expression","musical notation",duration
sostenuto,Q945900,"musical expression","musical notation",timbre
"plainchant transcription",,,translation,pitch
"plainchant transcription",,,translation,duration
"plainchant transcription",,,"musical notation",pitch
"plainchant transcription",,,"musical notation",duration
bookplate,Q188456,impression,impression,
translation,Q7553,,,
"comparative study",Q58901591,,"music theory",
comparison,Q1720648,,,
"Volti subito",Q2268953,,"musical notation",
"Volti subito",Q2268953,,"musical concept",
"performance practice",Q124518087,,"musical concept",
pointer,,,glyph,
